IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Degree of urbanization,PERCENT_POP_N
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2000,Total,97.85424
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2002,Total,97.85424
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2004,Total,97.85424
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2006,Total,97.94875
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2001,Total,97.85424
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2003,Total,97.85424
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2005,Total,97.90149
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2008,Total,98.04329
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2010,Total,98.13786
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2012,Total,98.23246
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2014,Total,98.32709
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2016,Total,98.42176
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2018,Total,98.51645
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2020,Total,98.61118
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2022,Total,98.65855
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2007,Total,97.99602
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2009,Total,98.09057
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2011,Total,98.18516
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2013,Total,98.27977
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2015,Total,98.37442
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2017,Total,98.4691
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2019,Total,98.56381
1548EA3,Population using safely managed drinking-water services,COUNTRY,392,Japan,YEAR,2021,Total,98.65855
